step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
674,0.15699,0.96296,,
675,0.00574,1.0,,
676,0.05814,0.98148,,
677,0.08324,0.98148,,
678,0.09354,0.96296,,
679,0.01997,1.0,,
680,0.00047,1.0,,
681,0.01056,1.0,,
682,0.00341,1.0,,
683,0.00599,1.0,,
684,0.02682,0.98148,,
685,0.02602,0.98148,,
686,0.04577,0.96296,,
687,0.07578,0.96296,,
688,0.04537,0.98148,,
689,0.05355,0.96296,,
690,0.00108,1.0,,
691,0.1804,0.96296,,
692,0.11375,0.98148,,
693,0.13539,0.96296,,
694,0.05227,0.98148,,
695,0.16438,0.96296,,
696,0.07312,0.96296,,
697,0.04262,0.98148,,
698,0.19548,0.96296,,
699,0.00043,1.0,,
700,0.27831,0.96296,,
701,0.06911,0.96296,0.1712,0.62963
702,0.00056,1.0,,
703,0.10002,0.98148,,
704,0.00745,1.0,,
705,0.11517,0.98148,,
706,0.01907,1.0,,
707,0.0118,1.0,,
708,0.0185,0.98148,,
709,0.01628,1.0,,
710,0.03265,0.98148,,
711,0.00634,1.0,,
712,0.08441,0.98148,,
713,0.02784,0.98148,,
714,0.05824,0.98148,,
715,0.00815,1.0,,
716,0.0186,0.98148,,
717,0.01367,1.0,,
718,0.24819,0.94444,,
719,0.04888,0.98148,,
720,0.0345,0.98148,,
721,0.20961,0.96296,,
722,0.17483,0.96296,,
723,0.13211,0.96296,,
724,0.00287,1.0,,
725,0.0035,1.0,,
726,0.01737,0.98148,,
727,0.00374,1.0,,
728,0.00275,1.0,,
729,0.03791,0.98148,,
730,0.02971,0.98148,,
731,0.00038,1.0,,
732,0.01012,1.0,,
733,0.03297,0.98148,,
734,0.00695,1.0,,
735,0.12371,0.98148,,
736,0.00179,1.0,,
737,0.01894,1.0,,
738,0.07373,0.98148,,
739,0.01419,1.0,,
740,0.02045,1.0,,
741,0.00711,1.0,,
742,0.00038,1.0,,
743,0.00159,1.0,,
744,0.00161,1.0,,
745,0.1081,0.98148,,
746,0.10867,0.96296,,
747,0.02694,0.98148,,
748,0.0864,0.96296,,
749,0.15667,0.98148,,
750,0.00428,1.0,,
751,0.04024,0.98148,,
752,0.16852,0.96296,,
753,0.05805,0.98148,,
754,0.00064,1.0,,
755,0.00636,1.0,,
756,0.00021,1.0,,
757,0.1336,0.98148,,
758,5e-05,1.0,,
759,0.12476,0.96296,,
760,0.00138,1.0,,
761,0.0767,0.98148,,
762,0.0017,1.0,,
763,0.00116,1.0,,
764,0.00091,1.0,,
765,0.016,0.98148,,
766,0.07195,0.98148,,
767,0.0174,1.0,,
768,0.25635,0.96296,,
769,0.22486,0.96296,,
770,0.15199,0.98148,,
771,0.03164,0.96296,,
772,0.00588,1.0,,
773,0.08385,0.98148,,
774,0.00091,1.0,,
775,0.01045,1.0,,
776,0.01073,1.0,,
777,0.05289,0.98148,,
778,0.11389,0.98148,,
779,0.00824,1.0,,
780,0.0076,1.0,,
781,0.0046,1.0,,
782,0.12323,0.98148,,
783,0.09073,0.98148,,
784,0.00853,1.0,,
785,0.05694,0.98148,,
786,0.00028,1.0,,
787,0.0497,0.98148,,
788,0.00269,1.0,,
789,0.17481,0.98148,,
790,0.01507,1.0,,
791,0.05603,0.96296,,
792,0.22655,0.92593,,
793,0.09147,0.96296,,
794,0.00743,1.0,,
795,0.0118,1.0,,
796,0.01903,0.98148,,
797,0.03578,0.98148,,
798,0.13957,0.96296,,
799,0.00022,1.0,,
800,0.04414,0.98148,,
801,0.00039,1.0,0.14232,0.62963
802,0.09666,0.98148,,
803,0.07491,0.96296,,
804,0.15564,0.98148,,
805,0.00294,1.0,,
806,0.18784,0.94444,,
807,0.00083,1.0,,
808,0.02404,0.98148,,
809,0.00071,1.0,,
810,0.00042,1.0,,
811,0.00315,1.0,,
812,0.02655,0.98148,,
813,0.00355,1.0,,
814,0.13405,0.94444,,
815,0.0643,0.96296,,
816,0.03827,0.98148,,
817,0.03047,0.98148,,
818,0.17987,0.94444,,
819,0.03263,0.98148,,
820,0.10819,0.96296,,
821,0.01919,0.98148,,
822,0.00974,1.0,,
823,0.0327,0.98148,,
824,0.28745,0.94444,,
825,0.00769,1.0,,
826,0.06318,0.98148,,
827,0.01544,1.0,,
828,0.00317,1.0,,
829,0.12128,0.96296,,
830,0.01319,1.0,,
831,0.00214,1.0,,
832,0.02906,0.98148,,
833,0.06925,0.98148,,
834,0.03667,0.98148,,
835,0.09008,0.98148,,
836,0.12027,0.98148,,
837,0.05522,0.98148,,
838,0.00229,1.0,,
839,0.18091,0.96296,,
840,0.00038,1.0,,
841,0.08682,0.98148,,
842,0.00038,1.0,,
843,0.13096,0.96296,,
844,0.03382,0.96296,,
845,0.00047,1.0,,
846,0.05227,0.96296,,
847,0.02105,0.98148,,
848,0.00011,1.0,,
849,0.01164,1.0,,
850,0.07633,0.98148,,
851,0.00291,1.0,,
852,0.00014,1.0,,
853,0.00265,1.0,,
854,0.13993,0.96296,,
855,0.00041,1.0,,
856,0.00016,1.0,,
857,0.20416,0.98148,,
858,0.05143,0.98148,,
859,0.22914,0.96296,,
860,0.02127,0.98148,,
861,0.12667,0.96296,,
862,0.0917,0.96296,,
863,0.00348,1.0,,
864,0.04163,0.98148,,
865,0.12075,0.94444,,
866,0.01518,0.98148,,
867,0.00041,1.0,,
868,0.04203,0.98148,,
869,0.0286,0.98148,,
870,0.08045,0.98148,,
871,0.00152,1.0,,
872,0.00646,1.0,,
873,0.01231,1.0,,
874,0.03751,0.98148,,
875,0.15727,0.98148,,
876,0.06846,0.96296,,
877,0.00022,1.0,,
878,0.06933,0.98148,,
879,0.06297,0.98148,,
880,0.00043,1.0,,
881,0.00396,1.0,,
882,0.26565,0.98148,,
883,0.04567,0.98148,,
884,0.01893,0.98148,,
885,0.04859,0.98148,,
886,0.33067,0.96296,,
887,0.00807,1.0,,
888,0.02674,0.98148,,
889,0.00015,1.0,,
890,0.06509,0.98148,,
891,0.1875,0.96296,,
892,0.01473,1.0,,
893,0.06314,0.98148,,
894,0.01902,1.0,,
895,0.08098,0.98148,,
896,0.16161,0.98148,,
897,0.00647,1.0,,
898,0.11845,0.98148,,
899,0.1386,0.98148,,
900,0.00153,1.0,,
901,0.19632,0.94444,0.14931,0.62963
902,0.00015,1.0,,
903,0.05631,0.96296,,
904,0.1704,0.96296,,
905,0.01153,1.0,,
906,0.00537,1.0,,
907,0.05128,0.96296,,
908,0.06995,0.98148,,
909,0.0462,0.98148,,
910,0.00212,1.0,,
911,0.00014,1.0,,
912,0.03751,0.98148,,
913,0.05189,0.98148,,
914,0.00136,1.0,,
915,0.02815,0.98148,,
916,0.14699,0.96296,,
917,0.01359,0.98148,,
918,0.08886,0.94444,,
919,0.00032,1.0,,
920,0.16837,0.96296,,
921,0.0002,1.0,,
922,0.00077,1.0,,
923,0.03404,0.98148,,
924,0.00142,1.0,,
925,0.06223,0.98148,,
926,0.07357,0.98148,,
927,0.0032,1.0,,
928,0.00485,1.0,,
929,0.03727,0.98148,,
930,0.01987,1.0,,
931,0.03956,0.98148,,
932,0.00522,1.0,,
933,0.00035,1.0,,
934,0.07883,0.98148,,
935,0.0301,0.98148,,
936,0.03615,0.98148,,
937,0.08462,0.98148,,
938,0.00236,1.0,,
939,0.13221,0.96296,,
940,0.16393,0.94444,,
941,0.06498,0.98148,,
942,0.05693,0.98148,,
943,0.006,1.0,,
944,0.00163,1.0,,
945,0.00012,1.0,,
946,0.12183,0.98148,,
947,0.04596,0.96296,,
948,0.02456,0.98148,,
949,0.0059,1.0,,
950,0.00555,1.0,,
951,0.13437,0.96296,,
952,0.00017,1.0,,
953,0.00406,1.0,,
954,0.04442,0.98148,,
955,0.00013,1.0,,
956,0.18639,0.96296,,
957,0.00016,1.0,,
958,0.09914,0.96296,,
959,0.19277,0.98148,,
960,0.09654,0.96296,,
961,0.03311,0.98148,,
962,0.00012,1.0,,
963,0.14884,0.96296,,
964,0.02524,0.98148,,
965,0.0002,1.0,,
966,0.00851,1.0,,
967,0.00269,1.0,,
968,0.07274,0.98148,,
969,0.00058,1.0,,
970,0.00027,1.0,,
971,0.0947,0.98148,,
972,0.12047,0.96296,,
973,0.04609,0.98148,,
974,0.03015,0.98148,,
975,0.00146,1.0,,
976,0.00013,1.0,,
977,5e-05,1.0,,
978,0.10926,0.98148,,
979,0.00021,1.0,,
980,0.33285,0.96296,,
981,0.00238,1.0,,
982,0.01743,0.98148,,
983,0.02009,0.98148,,
984,0.07646,0.98148,,
985,0.177,0.96296,,
986,0.12926,0.94444,,
987,0.0989,0.98148,,
988,0.00063,1.0,,
989,0.0151,0.98148,,
990,0.07691,0.98148,,
991,0.05996,0.96296,,
992,0.01552,1.0,,
993,0.09767,0.98148,,
994,6e-05,1.0,,
995,0.09842,0.98148,,
996,0.0199,0.98148,,
997,0.03057,0.98148,,
998,0.00021,1.0,,
999,0.00038,1.0,,
1000,0.11223,0.98148,,
1001,0.10318,0.98148,0.09028,0.64815
1002,0.00143,1.0,,
1003,0.00016,1.0,,
1004,0.1735,0.98148,,
